index: 93, Loc: 00:22:47, Loc(sectors): 1697, Loc(File Offset): 2553856, len(sectors): 2, len(bytes): 4096
index: 94, Loc: 00:22:49, Loc(sectors): 1699, Loc(File Offset): 2557952, len(sectors): 5, len(bytes): 10240
index: 95, Loc: 00:22:54, Loc(sectors): 1704, Loc(File Offset): 2568192, len(sectors): 5, len(bytes): 10240
index: 96, Loc: 00:22:59, Loc(sectors): 1709, Loc(File Offset): 2578432, len(sectors): 6, len(bytes): 12288
index: 97, Loc: 00:22:65, Loc(sectors): 1715, Loc(File Offset): 2590720, len(sectors): 4, len(bytes): 8192
index: 98, Loc: 00:22:69, Loc(sectors): 1719, Loc(File Offset): 2598912, len(sectors): 8, len(bytes): 16384
index: 99, Loc: 00:23:02, Loc(sectors): 1727, Loc(File Offset): 2615296, len(sectors): 6, len(bytes): 12288
index: 100, Loc: 00:23:08, Loc(sectors): 1733, Loc(File Offset): 2627584, len(sectors): 3, len(bytes): 6144
index: 101, Loc: 00:23:11, Loc(sectors): 1736, Loc(File Offset): 2633728, len(sectors): 6, len(bytes): 12288
index: 102, Loc: 00:23:17, Loc(sectors): 1742, Loc(File Offset): 2646016, len(sectors): 5, len(bytes): 10240
index: 103, Loc: 00:23:22, Loc(sectors): 1747, Loc(File Offset): 2656256, len(sectors): 7, len(bytes): 14336
index: 104, Loc: 00:23:29, Loc(sectors): 1754, Loc(File Offset): 2670592, len(sectors): 4, len(bytes): 8192
index: 105, Loc: 00:23:33, Loc(sectors): 1758, Loc(File Offset): 2678784, len(sectors): 4, len(bytes): 8192
index: 106, Loc: 00:23:37, Loc(sectors): 1762, Loc(File Offset): 2686976, len(sectors): 8, len(bytes): 16384
index: 107, Loc: 00:23:45, Loc(sectors): 1770, Loc(File Offset): 2703360, len(sectors): 4, len(bytes): 8192
index: 108, Loc: 00:23:49, Loc(sectors): 1774, Loc(File Offset): 2711552, len(sectors): 5, len(bytes): 10240
index: 109, Loc: 00:23:54, Loc(sectors): 1779, Loc(File Offset): 2721792, len(sectors): 5, len(bytes): 10240
index: 110, Loc: 00:23:59, Loc(sectors): 1784, Loc(File Offset): 2732032, len(sectors): 6, len(bytes): 12288
index: 111, Loc: 00:23:65, Loc(sectors): 1790, Loc(File Offset): 2744320, len(sectors): 5, len(bytes): 10240
index: 112, Loc: 00:23:70, Loc(sectors): 1795, Loc(File Offset): 2754560, len(sectors): 6, len(bytes): 12288
index: 113, Loc: 00:24:01, Loc(sectors): 1801, Loc(File Offset): 2766848, len(sectors): 6, len(bytes): 12288
index: 114, Loc: 00:24:07, Loc(sectors): 1807, Loc(File Offset): 2779136, len(sectors): 3, len(bytes): 6144
index: 115, Loc: 00:24:10, Loc(sectors): 1810, Loc(File Offset): 2785280, len(sectors): 6, len(bytes): 12288
index: 116, Loc: 00:24:16, Loc(sectors): 1816, Loc(File Offset): 2797568, len(sectors): 4, len(bytes): 8192
index: 117, Loc: 00:24:20, Loc(sectors): 1820, Loc(File Offset): 2805760, len(sectors): 5, len(bytes): 10240
index: 118, Loc: 00:24:25, Loc(sectors): 1825, Loc(File Offset): 2816000, len(sectors): 3, len(bytes): 6144
index: 119, Loc: 00:24:28, Loc(sectors): 1828, Loc(File Offset): 2822144, len(sectors): 5, len(bytes): 10240
index: 120, Loc: 00:24:33, Loc(sectors): 1833, Loc(File Offset): 2832384, len(sectors): 3, len(bytes): 6144
index: 121, Loc: 00:24:36, Loc(sectors): 1836, Loc(File Offset): 2838528, len(sectors): 3, len(bytes): 6144
index: 122, Loc: 00:24:39, Loc(sectors): 1839, Loc(File Offset): 2844672, len(sectors): 6, len(bytes): 12288
index: 123, Loc: 00:24:45, Loc(sectors): 1845, Loc(File Offset): 2856960, len(sectors): 3, len(bytes): 6144
index: 124, Loc: 00:24:48, Loc(sectors): 1848, Loc(File Offset): 2863104, len(sectors): 3, len(bytes): 6144
index: 125, Loc: 00:24:51, Loc(sectors): 1851, Loc(File Offset): 2869248, len(sectors): 4, len(bytes): 8192
index: 126, Loc: 00:24:55, Loc(sectors): 1855, Loc(File Offset): 2877440, len(sectors): 4, len(bytes): 8192
index: 127, Loc: 00:24:59, Loc(sectors): 1859, Loc(File Offset): 2885632, len(sectors): 6, len(bytes): 12288
index: 128, Loc: 00:24:65, Loc(sectors): 1865, Loc(File Offset): 2897920, len(sectors): 5, len(bytes): 10240
index: 129, Loc: 00:24:70, Loc(sectors): 1870, Loc(File Offset): 2908160, len(sectors): 4, len(bytes): 8192
index: 130, Loc: 00:24:74, Loc(sectors): 1874, Loc(File Offset): 2916352, len(sectors): 3, len(bytes): 6144
index: 131, Loc: 00:25:02, Loc(sectors): 1877, Loc(File Offset): 2922496, len(sectors): 3, len(bytes): 6144
index: 132, Loc: 00:25:05, Loc(sectors): 1880, Loc(File Offset): 2928640, len(sectors): 5, len(bytes): 10240
index: 133, Loc: 00:25:10, Loc(sectors): 1885, Loc(File Offset): 2938880, len(sectors): 2, len(bytes): 4096
index: 134, Loc: 00:25:12, Loc(sectors): 1887, Loc(File Offset): 2942976, len(sectors): 3, len(bytes): 6144
index: 135, Loc: 00:25:15, Loc(sectors): 1890, Loc(File Offset): 2949120, len(sectors): 4, len(bytes): 8192
index: 136, Loc: 00:25:19, Loc(sectors): 1894, Loc(File Offset): 2957312, len(sectors): 6, len(bytes): 12288
index: 137, Loc: 00:25:25, Loc(sectors): 1900, Loc(File Offset): 2969600, len(sectors): 7, len(bytes): 14336
index: 138, Loc: 00:25:32, Loc(sectors): 1907, Loc(File Offset): 2983936, len(sectors): 4, len(bytes): 8192
index: 139, Loc: 00:25:36, Loc(sectors): 1911, Loc(File Offset): 2992128, len(sectors): 6, len(bytes): 12288
index: 140, Loc: 00:25:42, Loc(sectors): 1917, Loc(File Offset): 3004416, len(sectors): 7, len(bytes): 14336
index: 141, Loc: 00:25:49, Loc(sectors): 1924, Loc(File Offset): 3018752, len(sectors): 8, len(bytes): 16384
index: 142, Loc: 00:25:57, Loc(sectors): 1932, Loc(File Offset): 3035136, len(sectors): 4, len(bytes): 8192
index: 143, Loc: 00:25:61, Loc(sectors): 1936, Loc(File Offset): 3043328, len(sectors): 3, len(bytes): 6144
index: 144, Loc: 00:25:64, Loc(sectors): 1939, Loc(File Offset): 3049472, len(sectors): 4, len(bytes): 8192
index: 145, Loc: 00:25:68, Loc(sectors): 1943, Loc(File Offset): 3057664, len(sectors): 4, len(bytes): 8192
index: 146, Loc: 00:25:72, Loc(sectors): 1947, Loc(File Offset): 3065856, len(sectors): 4, len(bytes): 8192
index: 147, Loc: 00:26:01, Loc(sectors): 1951, Loc(File Offset): 3074048, len(sectors): 4, len(bytes): 8192
index: 148, Loc: 00:26:05, Loc(sectors): 1955, Loc(File Offset): 3082240, len(sectors): 4, len(bytes): 8192
index: 149, Loc: 00:26:09, Loc(sectors): 1959, Loc(File Offset): 3090432, len(sectors): 6, len(bytes): 12288
index: 150, Loc: 00:26:15, Loc(sectors): 1965, Loc(File Offset): 3102720, len(sectors): 5, len(bytes): 10240
index: 151, Loc: 00:26:20, Loc(sectors): 1970, Loc(File Offset): 3112960, len(sectors): 8, len(bytes): 16384
index: 152, Loc: 00:26:28, Loc(sectors): 1978, Loc(File Offset): 3129344, len(sectors): 7, len(bytes): 14336
index: 153, Loc: 00:26:35, Loc(sectors): 1985, Loc(File Offset): 3143680, len(sectors): 5, len(bytes): 10240
index: 154, Loc: 00:26:40, Loc(sectors): 1990, Loc(File Offset): 3153920, len(sectors): 4, len(bytes): 8192
index: 155, Loc: 00:26:44, Loc(sectors): 1994, Loc(File Offset): 3162112, len(sectors): 4, len(bytes): 8192
index: 156, Loc: 00:26:48, Loc(sectors): 1998, Loc(File Offset): 3170304, len(sectors): 4, len(bytes): 8192
index: 157, Loc: 00:26:52, Loc(sectors): 2002, Loc(File Offset): 3178496, len(sectors): 5, len(bytes): 10240
index: 158, Loc: 00:26:57, Loc(sectors): 2007, Loc(File Offset): 3188736, len(sectors): 6, len(bytes): 12288
index: 159, Loc: 00:26:63, Loc(sectors): 2013, Loc(File Offset): 3201024, len(sectors): 4, len(bytes): 8192
index: 160, Loc: 00:26:67, Loc(sectors): 2017, Loc(File Offset): 3209216, len(sectors): 5, len(bytes): 10240
index: 161, Loc: 00:26:72, Loc(sectors): 2022, Loc(File Offset): 3219456, len(sectors): 3, len(bytes): 6144
index: 162, Loc: 00:27:00, Loc(sectors): 2025, Loc(File Offset): 3225600, len(sectors): 6, len(bytes): 12288
index: 163, Loc: 00:27:06, Loc(sectors): 2031, Loc(File Offset): 3237888, len(sectors): 4, len(bytes): 8192
index: 164, Loc: 00:27:10, Loc(sectors): 2035, Loc(File Offset): 3246080, len(sectors): 3, len(bytes): 6144
index: 165, Loc: 00:27:13, Loc(sectors): 2038, Loc(File Offset): 3252224, len(sectors): 4, len(bytes): 8192
index: 166, Loc: 00:27:17, Loc(sectors): 2042, Loc(File Offset): 3260416, len(sectors): 7, len(bytes): 14336
index: 167, Loc: 00:27:24, Loc(sectors): 2049, Loc(File Offset): 3274752, len(sectors): 5, len(bytes): 10240
index: 168, Loc: 00:27:29, Loc(sectors): 2054, Loc(File Offset): 3284992, len(sectors): 6, len(bytes): 12288
index: 169, Loc: 00:27:35, Loc(sectors): 2060, Loc(File Offset): 3297280, len(sectors): 5, len(bytes): 10240
index: 170, Loc: 00:27:40, Loc(sectors): 2065, Loc(File Offset): 3307520, len(sectors): 11, len(bytes): 22528
index: 171, Loc: 00:27:51, Loc(sectors): 2076, Loc(File Offset): 3330048, len(sectors): 5, len(bytes): 10240
index: 172, Loc: 00:27:56, Loc(sectors): 2081, Loc(File Offset): 3340288, len(sectors): 6, len(bytes): 12288
index: 173, Loc: 00:27:62, Loc(sectors): 2087, Loc(File Offset): 3352576, len(sectors): 4, len(bytes): 8192
index: 174, Loc: 00:27:66, Loc(sectors): 2091, Loc(File Offset): 3360768, len(sectors): 4, len(bytes): 8192
index: 175, Loc: 00:27:70, Loc(sectors): 2095, Loc(File Offset): 3368960, len(sectors): 4, len(bytes): 8192
index: 176, Loc: 00:27:74, Loc(sectors): 2099, Loc(File Offset): 3377152, len(sectors): 15, len(bytes): 30720
index: 177, Loc: 00:28:14, Loc(sectors): 2114, Loc(File Offset): 3407872, len(sectors): 5, len(bytes): 10240
index: 178, Loc: 00:28:19, Loc(sectors): 2119, Loc(File Offset): 3418112, len(sectors): 6, len(bytes): 12288
index: 179, Loc: 00:28:25, Loc(sectors): 2125, Loc(File Offset): 3430400, len(sectors): 4, len(bytes): 8192
index: 180, Loc: 00:28:29, Loc(sectors): 2129, Loc(File Offset): 3438592, len(sectors): 5, len(bytes): 10240
index: 181, Loc: 00:28:34, Loc(sectors): 2134, Loc(File Offset): 3448832, len(sectors): 5, len(bytes): 10240
index: 182, Loc: 00:28:39, Loc(sectors): 2139, Loc(File Offset): 3459072, len(sectors): 5, len(bytes): 10240
index: 183, Loc: 00:28:44, Loc(sectors): 2144, Loc(File Offset): 3469312, len(sectors): 3, len(bytes): 6144
index: 184, Loc: 00:28:47, Loc(sectors): 2147, Loc(File Offset): 3475456, len(sectors): 3, len(bytes): 6144
index: 185, Loc: 00:28:50, Loc(sectors): 2150, Loc(File Offset): 3481600, len(sectors): 4, len(bytes): 8192
index: 186, Loc: 00:28:54, Loc(sectors): 2154, Loc(File Offset): 3489792, len(sectors): 3, len(bytes): 6144
index: 187, Loc: 00:28:57, Loc(sectors): 2157, Loc(File Offset): 3495936, len(sectors): 5, len(bytes): 10240
index: 188, Loc: 00:28:62, Loc(sectors): 2162, Loc(File Offset): 3506176, len(sectors): 4, len(bytes): 8192
index: 189, Loc: 00:28:66, Loc(sectors): 2166, Loc(File Offset): 3514368, len(sectors): 5, len(bytes): 10240
index: 190, Loc: 00:28:71, Loc(sectors): 2171, Loc(File Offset): 3524608, len(sectors): 3, len(bytes): 6144
index: 191, Loc: 00:28:74, Loc(sectors): 2174, Loc(File Offset): 3530752, len(sectors): 5, len(bytes): 10240
index: 192, Loc: 00:29:04, Loc(sectors): 2179, Loc(File Offset): 3540992, len(sectors): 4, len(bytes): 8192
index: 193, Loc: 00:29:08, Loc(sectors): 2183, Loc(File Offset): 3549184, len(sectors): 5, len(bytes): 10240
index: 194, Loc: 00:29:13, Loc(sectors): 2188, Loc(File Offset): 3559424, len(sectors): 5, len(bytes): 10240
index: 195, Loc: 00:29:18, Loc(sectors): 2193, Loc(File Offset): 3569664, len(sectors): 6, len(bytes): 12288
index: 196, Loc: 00:29:24, Loc(sectors): 2199, Loc(File Offset): 3581952, len(sectors): 5, len(bytes): 10240
index: 197, Loc: 00:29:29, Loc(sectors): 2204, Loc(File Offset): 3592192, len(sectors): 4, len(bytes): 8192
index: 198, Loc: 00:29:33, Loc(sectors): 2208, Loc(File Offset): 3600384, len(sectors): 4, len(bytes): 8192
index: 199, Loc: 00:29:37, Loc(sectors): 2212, Loc(File Offset): 3608576, len(sectors): 4, len(bytes): 8192
index: 200, Loc: 00:29:41, Loc(sectors): 2216, Loc(File Offset): 3616768, len(sectors): 3, len(bytes): 6144
index: 201, Loc: 00:29:44, Loc(sectors): 2219, Loc(File Offset): 3622912, len(sectors): 4, len(bytes): 8192
index: 202, Loc: 00:29:48, Loc(sectors): 2223, Loc(File Offset): 3631104, len(sectors): 4, len(bytes): 8192
index: 203, Loc: 00:29:52, Loc(sectors): 2227, Loc(File Offset): 3639296, len(sectors): 4, len(bytes): 8192
index: 204, Loc: 00:29:56, Loc(sectors): 2231, Loc(File Offset): 3647488, len(sectors): 7, len(bytes): 14336
index: 205, Loc: 00:29:63, Loc(sectors): 2238, Loc(File Offset): 3661824, len(sectors): 3, len(bytes): 6144
index: 206, Loc: 00:29:66, Loc(sectors): 2241, Loc(File Offset): 3667968, len(sectors): 4, len(bytes): 8192
index: 207, Loc: 00:29:70, Loc(sectors): 2245, Loc(File Offset): 3676160, len(sectors): 4, len(bytes): 8192
index: 208, Loc: 00:29:74, Loc(sectors): 2249, Loc(File Offset): 3684352, len(sectors): 4, len(bytes): 8192
index: 209, Loc: 00:30:03, Loc(sectors): 2253, Loc(File Offset): 3692544, len(sectors): 7, len(bytes): 14336
index: 210, Loc: 00:30:10, Loc(sectors): 2260, Loc(File Offset): 3706880, len(sectors): 5, len(bytes): 10240
index: 211, Loc: 00:30:15, Loc(sectors): 2265, Loc(File Offset): 3717120, len(sectors): 6, len(bytes): 12288
index: 212, Loc: 00:30:21, Loc(sectors): 2271, Loc(File Offset): 3729408, len(sectors): 3, len(bytes): 6144
index: 213, Loc: 00:30:24, Loc(sectors): 2274, Loc(File Offset): 3735552, len(sectors): 8, len(bytes): 16384
index: 214, Loc: 00:30:32, Loc(sectors): 2282, Loc(File Offset): 3751936, len(sectors): 6, len(bytes): 12288
index: 215, Loc: 00:30:38, Loc(sectors): 2288, Loc(File Offset): 3764224, len(sectors): 6, len(bytes): 12288
index: 216, Loc: 00:30:44, Loc(sectors): 2294, Loc(File Offset): 3776512, len(sectors): 5, len(bytes): 10240
index: 217, Loc: 00:30:49, Loc(sectors): 2299, Loc(File Offset): 3786752, len(sectors): 5, len(bytes): 10240
index: 218, Loc: 00:30:54, Loc(sectors): 2304, Loc(File Offset): 3796992, len(sectors): 4, len(bytes): 8192
index: 219, Loc: 00:30:58, Loc(sectors): 2308, Loc(File Offset): 3805184, len(sectors): 7, len(bytes): 14336
index: 220, Loc: 00:30:65, Loc(sectors): 2315, Loc(File Offset): 3819520, len(sectors): 5, len(bytes): 10240
index: 221, Loc: 00:30:70, Loc(sectors): 2320, Loc(File Offset): 3829760, len(sectors): 6, len(bytes): 12288
index: 222, Loc: 00:31:01, Loc(sectors): 2326, Loc(File Offset): 3842048, len(sectors): 4, len(bytes): 8192
index: 223, Loc: 00:31:05, Loc(sectors): 2330, Loc(File Offset): 3850240, len(sectors): 3, len(bytes): 6144
index: 224, Loc: 00:31:08, Loc(sectors): 2333, Loc(File Offset): 3856384, len(sectors): 4, len(bytes): 8192
index: 225, Loc: 00:31:12, Loc(sectors): 2337, Loc(File Offset): 3864576, len(sectors): 5, len(bytes): 10240
index: 226, Loc: 00:31:17, Loc(sectors): 2342, Loc(File Offset): 3874816, len(sectors): 5, len(bytes): 10240
index: 227, Loc: 00:31:22, Loc(sectors): 2347, Loc(File Offset): 3885056, len(sectors): 4, len(bytes): 8192
index: 228, Loc: 00:31:26, Loc(sectors): 2351, Loc(File Offset): 3893248, len(sectors): 3, len(bytes): 6144
index: 229, Loc: 00:31:29, Loc(sectors): 2354, Loc(File Offset): 3899392, len(sectors): 6, len(bytes): 12288
